Год;Квартал;Федеральный округ;Регион;Тип страхового взноса;Доходы от страховых взносов, млн. руб.;
2016;1;Дальневосточный Федеральный округ;Амурская область;ВН;144,9;
2016;1;Дальневосточный Федеральный округ;Амурская область;НС;129,53;
2016;1;Дальневосточный Федеральный округ;Еврейская автономная область;ВН;17,63;
2016;1;Дальневосточный Федеральный округ;Еврейская автономная область;НС;13,17;
2016;1;Дальневосточный Федеральный округ;Камчатский край;ВН;125,42;
2016;1;Дальневосточный Федеральный округ;Камчатский край;НС;85,25;
2016;1;Дальневосточный Федеральный округ;Магаданская область;ВН;91,04;
2016;1;Дальневосточный Федеральный округ;Магаданская область;НС;90,88;
2016;1;Дальневосточный Федеральный округ;Приморский край;ВН;404,26;
2016;1;Дальневосточный Федеральный округ;Приморский край;НС;217,65;
2016;1;Дальневосточный Федеральный округ;Республика Саха (Якутия);ВН;285,97;
2016;1;Дальневосточный Федеральный округ;Республика Саха (Якутия);НС;256,81;
2016;1;Дальневосточный Федеральный округ;Сахалинская область;ВН;276,87;
2016;1;Дальневосточный Федеральный округ;Сахалинская область;НС;160,49;
2016;1;Дальневосточный Федеральный округ;Хабаровский край;ВН;1344,2;
2016;1;Дальневосточный Федеральный округ;Хабаровский край;НС;354,27;
2016;1;Дальневосточный Федеральный округ;Чукотский автономный округ;ВН;49,13;
2016;1;Дальневосточный Федеральный округ;Чукотский автономный округ;НС;67,75;
2016;1;Приволжский Федеральный округ;Кировская область;ВН;124,04;
2016;1;Приволжский Федеральный округ;Кировская область;НС;115,07;
2016;1;Приволжский Федеральный округ;Нижегородская область;ВН;2322,63;
2016;1;Приволжский Федеральный округ;Нижегородская область;НС;496,56;
2016;1;Приволжский Федеральный округ;Оренбургская область;ВН;197,35;
2016;1;Приволжский Федеральный округ;Оренбургская область;НС;188,35;
2016;1;Приволжский Федеральный округ;Пензенская область;ВН;128,12;
2016;1;Приволжский Федеральный округ;Пензенская область;НС;87,46;
2016;1;Приволжский Федеральный округ;Пермский край;ВН;316,95;
2016;1;Приволжский Федеральный округ;Пермский край;НС;292,43;
2016;1;Приволжский Федеральный округ;Республика Башкортостан;ВН;369,98;
