Год;Квартал;Федеральный округ;Регион;Количество страхователей, тыс. ед.;
2016;4;Дальневосточный Федеральный округ;Амурская область;20465,0;
2016;4;Дальневосточный Федеральный округ;Еврейская автономная область;4203,0;
2016;4;Дальневосточный Федеральный округ;Камчатский край;12596,0;
2016;4;Дальневосточный Федеральный округ;Магаданская область;5370,0;
2016;4;Дальневосточный Федеральный округ;Приморский край;78253,0;
2016;4;Дальневосточный Федеральный округ;Республика Саха (Якутия);28181,0;
2016;4;Дальневосточный Федеральный округ;Сахалинская область;19576,0;
2016;4;Дальневосточный Федеральный округ;Хабаровский край;49060,0;
2016;4;Приволжский Федеральный округ;Кировская область;42171,0;
2016;4;Приволжский Федеральный округ;Нижегородская область;119073,0;
2016;4;Приволжский Федеральный округ;Оренбургская область;46623,0;
2016;4;Приволжский Федеральный округ;Пензенская область;35319,0;
2016;4;Приволжский Федеральный округ;Пермский край;94426,0;
2016;4;Приволжский Федеральный округ;Республика Башкортостан;101211,0;
2016;4;Приволжский Федеральный округ;Республика Марий Эл;18574,0;
2016;4;Приволжский Федеральный округ;Республика Мордовия;18424,0;
2016;4;Приволжский Федеральный округ;Республика Татарстан;144203,0;
2016;4;Приволжский Федеральный округ;Самарская область;121866,0;
2016;4;Приволжский Федеральный округ;Саратовская область;59091,0;
2016;4;Приволжский Федеральный округ;Удмуртская республика;47973,0;
2016;4;Приволжский Федеральный округ;Ульяновская область;35702,0;
2016;4;Приволжский Федеральный округ;Чувашская республика;29930,0;
2016;4;Северо-Западный Федеральный округ;Архангельская область;28487,0;
2016;4;Северо-Западный Федеральный округ;Вологодская область;50915,0;
2016;4;Северо-Западный Федеральный округ;Калининградская область;60347,0;
2016;4;Северо-Западный Федеральный округ;Ленинградская область;40476,0;
2016;4;Северо-Западный Федеральный округ;Мурманская область;20727,0;
2016;4;Северо-Западный Федеральный округ;Ненецкий автономный округ;1209,0;
2016;4;Северо-Западный Федеральный округ;Новгородская область;17824,0;
2016;4;Северо-Западный Федеральный округ;Псковская область;17425,0;
2016;4;Северо-Западный Федеральный округ;Республика Карелия;26026,0;
2016;4;Северо-Западный Федеральный округ;Республика Коми;25537,0;
2016;4;Северо-Западный Федеральный округ;Санкт-Петербург;362920,0;
2016;4;Северо-Кавказский Федеральный округ;Кабардино-Балкарская республика;12778,0;
2016;4;Северо-Кавказский Федеральный округ;Республика Дагестан;34800,0;
2016;4;Северо-Кавказский Федеральный округ;Республика Ингушетия;5553,0;
2016;4;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;7431,0;
2016;4;Северо-Кавказский Федеральный округ;Республика Северная Осетия - Алания;11240,0;
