Год;Квартал;Федеральный округ;Регион;Размер недоимки, млн. руб.;
2016;4;Дальневосточный Федеральный округ;Амурская область;37,13;
2016;4;Дальневосточный Федеральный округ;Еврейская автономная область;7,94;
2016;4;Дальневосточный Федеральный округ;Камчатский край;41,44;
2016;4;Дальневосточный Федеральный округ;Магаданская область;17,97;
2016;4;Дальневосточный Федеральный округ;Приморский край;58,55;
2016;4;Дальневосточный Федеральный округ;Республика Саха (Якутия);69,96;
2016;4;Дальневосточный Федеральный округ;Сахалинская область;61,07;
2016;4;Дальневосточный Федеральный округ;Хабаровский край;600,7;
2016;4;Приволжский Федеральный округ;Кировская область;39,02;
2016;4;Приволжский Федеральный округ;Нижегородская область;342,99;
2016;4;Приволжский Федеральный округ;Оренбургская область;49,46;
2016;4;Приволжский Федеральный округ;Пензенская область;29,8;
2016;4;Приволжский Федеральный округ;Пермский край;91,64;
2016;4;Приволжский Федеральный округ;Республика Башкортостан;43,56;
2016;4;Приволжский Федеральный округ;Республика Марий Эл;13,38;
2016;4;Приволжский Федеральный округ;Республика Мордовия;32,16;
2016;4;Приволжский Федеральный округ;Республика Татарстан;219,36;
2016;4;Приволжский Федеральный округ;Самарская область;207,49;
2016;4;Приволжский Федеральный округ;Саратовская область;62,12;
2016;4;Приволжский Федеральный округ;Удмуртская республика;31,18;
2016;4;Приволжский Федеральный округ;Ульяновская область;86,82;
2016;4;Приволжский Федеральный округ;Чувашская республика;33,64;
2016;4;Северо-Западный Федеральный округ;Архангельская область;27,6;
2016;4;Северо-Западный Федеральный округ;Вологодская область;25,07;
2016;4;Северо-Западный Федеральный округ;Калининградская область;62,45;
2016;4;Северо-Западный Федеральный округ;Ленинградская область;41,39;
2016;4;Северо-Западный Федеральный округ;Мурманская область;74,67;
2016;4;Северо-Западный Федеральный округ;Ненецкий автономный округ;2,11;
2016;4;Северо-Западный Федеральный округ;Новгородская область;111,23;
2016;4;Северо-Западный Федеральный округ;Псковская область;9,39;
2016;4;Северо-Западный Федеральный округ;Республика Карелия;28,86;
2016;4;Северо-Западный Федеральный округ;Республика Коми;42,93;
2016;4;Северо-Западный Федеральный округ;Санкт-Петербург;170,14;
2016;4;Северо-Кавказский Федеральный округ;Кабардино-Балкарская республика;13,18;
2016;4;Северо-Кавказский Федеральный округ;Республика Дагестан;45,25;
2016;4;Северо-Кавказский Федеральный округ;Республика Ингушетия;3,0;
2016;4;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;36,18;
2016;4;Северо-Кавказский Федеральный округ;Республика Северная Осетия - Алания;5,36;
2016;4;Северо-Кавказский Федеральный округ;Ставропольский край;40,39;
2016;4;Северо-Кавказский Федеральный округ;Чеченская республика;20,79;
2016;4;Сибирский Федеральный округ;Алтайский край;52,14;
2016;4;Сибирский Федеральный округ;Забайкальский край;90,89;
2016;4;Сибирский Федеральный округ;Иркутская область;95,63;
2016;4;Сибирский Федеральный округ;Кемеровская область;59,72;
2016;4;Сибирский Федеральный округ;Красноярский край;95,09;
2016;4;Сибирский Федеральный округ;Новосибирская область;408,84;
2016;4;Сибирский Федеральный округ;Омская область;19,43;
2016;4;Сибирский Федеральный округ;Республика Алтай;2,5;
2016;4;Сибирский Федеральный округ;Республика Бурятия;22,08;
2016;4;Сибирский Федеральный округ;Республика Тыва;4,24;
2016;4;Сибирский Федеральный округ;Республика Хакасия;22,25;
2016;4;Сибирский Федеральный округ;Томская область;30,01;
