Год;Квартал;Федеральный округ;Регион;Категория ТСР;Количество инвалидов, обеспеченных ТСР и услугами, чел.;Количество ТСР и услуг, которыми обеспечены инвалиды, шт.;Расходы на обеспечение инвалидов ТСР и услугами, млн. руб.;
2015;1;Дальневосточный Федеральный округ;Еврейская автономная область;Абсорбирующее белье, подгузники;519,0;68446,0;1,43;
2015;1;Дальневосточный Федеральный округ;Еврейская автономная область;Кресла-коляски с ручным приводом (комнатные, прогулочные, активного типа), с электроприводом, малогабаритные;4,0;5,0;0,1;
2015;1;Дальневосточный Федеральный округ;Еврейская автономная область;Ортопедическая обувь;42,0;132,0;0,54;
2015;1;Дальневосточный Федеральный округ;Еврейская автономная область;Почтовые услуги;121,0;175,0;0,01;
2015;1;Дальневосточный Федеральный округ;Еврейская автономная область;Предоставление услуг по сурдопереводу;44,0;269,9999998;0,1;
2015;1;Дальневосточный Федеральный округ;Еврейская автономная область;Протезы, в том числе эндопротезы, и ортезы;25,0;53,0;0,42;
2015;1;Дальневосточный Федеральный округ;Еврейская автономная область;Противопролежневые матрацы и подушки;1,0;1,0;0,0;
2015;1;Дальневосточный Федеральный округ;Еврейская автономная область;Ремонт ТСР и ПОИ;2,0;7,0;0,05;
2015;1;Дальневосточный Федеральный округ;Еврейская автономная область;Слуховые аппараты, в том числе с ушными вкладышами индивидуального изготовления;4,0;4,0;0,06;
2015;1;Дальневосточный Федеральный округ;Еврейская автономная область;Специальные средства при нарушениях функций выделения (моче- и калоприемники);43,0;2012,0;0,16;
2015;1;Дальневосточный Федеральный округ;Еврейская автономная область;Трости опорные и тактильные, костыли, опоры, поручни;35,0;42,0;0,03;
2015;1;Дальневосточный Федеральный округ;Камчатский край;Абсорбирующее белье, подгузники;181,0;37948,0;1,18;
2015;1;Дальневосточный Федеральный округ;Камчатский край;Кресла-коляски с ручным приводом (комнатные, прогулочные, активного типа), с электроприводом, малогабаритные;7,0;7,0;0,87;
2015;1;Дальневосточный Федеральный округ;Камчатский край;Кресло-стулья с санитарным оснащением;1,0;1,0;0,0;
2015;1;Дальневосточный Федеральный округ;Камчатский край;Медицинские термометры и тонометры с речевым выходом;18,0;29,0;0,08;
2015;1;Дальневосточный Федеральный округ;Камчатский край;Ортопедическая обувь;85,0;332,0;1,69;
2015;1;Дальневосточный Федеральный округ;Камчатский край;Почтовые услуги;169,0;209,0;0,07;
2015;1;Дальневосточный Федеральный округ;Камчатский край;Предоставление услуг по сурдопереводу;40,0;1140,0;0,45;
2015;1;Дальневосточный Федеральный округ;Камчатский край;Проезд;1,0;2,0;0,01;
2015;1;Дальневосточный Федеральный округ;Камчатский край;Протезы, в том числе эндопротезы, и ортезы;128,0;278,0;9,01;
2015;1;Дальневосточный Федеральный округ;Камчатский край;Противопролежневые матрацы и подушки;45,0;49,0;0,3;
2015;1;Дальневосточный Федеральный округ;Камчатский край;Слуховые аппараты, в том числе с ушными вкладышами индивидуального изготовления;46,0;47,0;0,64;
2015;1;Дальневосточный Федеральный округ;Камчатский край;Специальные средства при нарушениях функций выделения (моче- и калоприемники);73,0;7751,0;0,9;
2015;1;Дальневосточный Федеральный округ;Камчатский край;Телевизоры с телетекстом для приема программ со скрытыми субтитрами;1,0;1,0;0,03;
2015;1;Дальневосточный Федеральный округ;Камчатский край;Телефонные устройства с текстовым выходом;1,0;1,0;0,0;
2015;1;Дальневосточный Федеральный округ;Камчатский край;Трости опорные и тактильные, костыли, опоры, поручни;203,0;340,0;0,45;
2015;1;Дальневосточный Федеральный округ;Магаданская область;Абсорбирующее белье, подгузники;21,0;4356,0;0,09;
2015;1;Дальневосточный Федеральный округ;Магаданская область;Кресла-коляски с ручным приводом (комнатные, прогулочные, активного типа), с электроприводом, малогабаритные;2,0;2,0;0,04;
2015;1;Дальневосточный Федеральный округ;Магаданская область;Кресло-стулья с санитарным оснащением;1,0;1,0;0,0;
2015;1;Дальневосточный Федеральный округ;Магаданская область;Ортопедическая обувь;2,0;8,0;0,03;
2015;1;Дальневосточный Федеральный округ;Магаданская область;Почтовые услуги;4,0;7,0;0,0;
2015;1;Дальневосточный Федеральный округ;Магаданская область;Предоставление услуг по сурдопереводу;31,0;408,0;0,21;
2015;1;Дальневосточный Федеральный округ;Магаданская область;Протезы, в том числе эндопротезы, и ортезы;6,0;8,0;0,06;
2015;1;Дальневосточный Федеральный округ;Магаданская область;Слуховые аппараты, в том числе с ушными вкладышами индивидуального изготовления;1,0;1,0;0,0;
2015;1;Дальневосточный Федеральный округ;Магаданская область;Специальные средства при нарушениях функций выделения (моче- и калоприемники);7,0;539,0;0,04;
2015;1;Дальневосточный Федеральный округ;Магаданская область;Телевизоры с телетекстом для приема программ со скрытыми субтитрами;1,0;1,0;0,01;
2015;1;Дальневосточный Федеральный округ;Магаданская область;Трости опорные и тактильные, костыли, опоры, поручни;6,0;8,0;0,0;
2015;1;Дальневосточный Федеральный округ;Приморский край;Абсорбирующее белье, подгузники;488,0;105377,0;1,75;
2015;1;Дальневосточный Федеральный округ;Приморский край;Кресла-коляски с ручным приводом (комнатные, прогулочные, активного типа), с электроприводом, малогабаритные;13,0;15,0;0,47;
2015;1;Дальневосточный Федеральный округ;Приморский край;Кресло-стулья с санитарным оснащением;3,0;3,0;0,01;
2015;1;Дальневосточный Федеральный округ;Приморский край;Медицинские термометры и тонометры с речевым выходом;1,0;1,0;0,0;
2015;1;Дальневосточный Федеральный округ;Приморский край;Ортопедическая обувь;185,0;701,0;1,83;
2015;1;Дальневосточный Федеральный округ;Приморский край;Почтовые услуги;127,0;149,0;0,01;
2015;1;Дальневосточный Федеральный округ;Приморский край;Предоставление услуг по сурдопереводу;46,0;240,0000006;0,1;
2015;1;Дальневосточный Федеральный округ;Приморский край;Проезд;4,0;10,0;0,23;
2015;1;Дальневосточный Федеральный округ;Приморский край;Протезы, в том числе эндопротезы, и ортезы;476,0;1197,0;12,12;
2015;1;Дальневосточный Федеральный округ;Приморский край;Противопролежневые матрацы и подушки;65,0;65,0;0,38;
2015;1;Дальневосточный Федеральный округ;Приморский край;Слуховые аппараты, в том числе с ушными вкладышами индивидуального изготовления;12,0;15,0;0,21;
2015;1;Дальневосточный Федеральный округ;Приморский край;Содержание и ветеринарное обслуживание собак-проводников (путем выплаты ежегодной денежной компенсации);3,0;3,0;0,06;
2015;1;Дальневосточный Федеральный округ;Приморский край;Специальные средства при нарушениях функций выделения (моче- и калоприемники);239,0;24991,0;1,66;
2015;1;Дальневосточный Федеральный округ;Приморский край;Специальные устройства для чтения "говорящих книг", для оптической коррекции слабовидения;55,0;57,0;0,97;
2015;1;Дальневосточный Федеральный округ;Приморский край;Трости опорные и тактильные, костыли, опоры, поручни;68,0;81,0;0,13;
2015;1;Дальневосточный Федеральный округ;Республика Саха (Якутия);Абсорбирующее белье, подгузники;247,0;106853,0;2,13;
2015;1;Дальневосточный Федеральный округ;Республика Саха (Якутия);Кресла-коляски с ручным приводом (комнатные, прогулочные, активного типа), с электроприводом, малогабаритные;49,0;49,0;0,84;
2015;1;Дальневосточный Федеральный округ;Республика Саха (Якутия);Кресло-стулья с санитарным оснащением;215,0;215,0;1,26;
2015;1;Дальневосточный Федеральный округ;Республика Саха (Якутия);Медицинские термометры и тонометры с речевым выходом;114,0;142,0;0,31;
2015;1;Дальневосточный Федеральный округ;Республика Саха (Якутия);Ортопедическая обувь;44,0;125,0;0,34;
2015;1;Дальневосточный Федеральный округ;Республика Саха (Якутия);Проезд;6,0;16,0;0,11;
2015;1;Дальневосточный Федеральный округ;Республика Саха (Якутия);Протезы, в том числе эндопротезы, и ортезы;131,0;242,0;6,47;
2015;1;Дальневосточный Федеральный округ;Республика Саха (Якутия);Протезы, в том числе эндопротезы, и ортезы;131,0;242,0;6,47;
2015;1;Дальневосточный Федеральный округ;Республика Саха (Якутия);Противопролежневые матрацы и подушки;46,0;48,0;0,19;
2015;1;Дальневосточный Федеральный округ;Республика Саха (Якутия);Сигнализаторы звука световые и вибрационные;28,0;28,0;0,12;
2015;1;Дальневосточный Федеральный округ;Республика Саха (Якутия);Слуховые аппараты, в том числе с ушными вкладышами индивидуального изготовления;31,0;53,0;0,96;
2015;1;Дальневосточный Федеральный округ;Республика Саха (Якутия);Содержание и ветеринарное обслуживание собак-проводников (путем выплаты ежегодной денежной компенсации);1,0;1,0;0,02;
