Год;Федеральный округ;Регион;Пол новорожденного;Количество детей, чел. ;Средний рост новорожденных детей, см.;Средний вес новорожденных детей, кг.;
2015;Дальневосточный Федеральный округ;Амурская область;Ж;5294,0;51,91;3,24;
2015;Дальневосточный Федеральный округ;Амурская область;М;5529,0;52,42;3,35;
2015;Дальневосточный Федеральный округ;Еврейская автономная область;Ж;1021,0;51,71;3,24;
2015;Дальневосточный Федеральный округ;Еврейская автономная область;М;1192,0;52,27;3,36;
2015;Дальневосточный Федеральный округ;Камчатский край;Ж;2003,0;51,52;3,31;
2015;Дальневосточный Федеральный округ;Камчатский край;М;2129,0;52,22;3,43;
2015;Дальневосточный Федеральный округ;Магаданская область;Ж;832,0;52,7;3,26;
2015;Дальневосточный Федеральный округ;Магаданская область;М;938,0;53,56;3,43;
2015;Дальневосточный Федеральный округ;Приморский край;Ж;11626,0;51,83;3,25;
2015;Дальневосточный Федеральный округ;Приморский край;М;12258,0;52,57;3,38;
2015;Дальневосточный Федеральный округ;Республика Саха (Якутия);Ж;8014,0;51,53;3,32;
2015;Дальневосточный Федеральный округ;Республика Саха (Якутия);М;8399,0;52,23;3,43;
2015;Дальневосточный Федеральный округ;Сахалинская область;Ж;3210,0;52,26;3,26;
2015;Дальневосточный Федеральный округ;Сахалинская область;М;3381,0;52,93;3,38;
2015;Дальневосточный Федеральный округ;Хабаровский край;Ж;8334,0;52,08;3,25;
2015;Дальневосточный Федеральный округ;Хабаровский край;М;8902,0;52,82;3,39;
2015;Дальневосточный Федеральный округ;Чукотский автономный округ;Ж;349,0;51,88;3,23;
2015;Приволжский Федеральный округ;Кировская область;Ж;8160,0;51,48;3,25;
2015;Приволжский Федеральный округ;Кировская область;М;8631,0;52,26;3,4;
2015;Приволжский Федеральный округ;Нижегородская область;Ж;19070,0;51,14;3,29;
2015;Приволжский Федеральный округ;Нижегородская область;М;20664,0;51,83;3,42;
2015;Приволжский Федеральный округ;Оренбургская область;Ж;13524,0;51,23;3,28;
2015;Приволжский Федеральный округ;Оренбургская область;М;14557,0;51,97;3,41;
2015;Приволжский Федеральный округ;Пензенская область;Ж;7034,0;51,63;3,27;
