Год;Месяц;Федеральный округ;Регион;Тип талона;Количество оплаченных талонов РС всех типов, шт.;
2015;1;Дальневосточный Федеральный округ;Амурская область;Талон №1;724,0;
2015;1;Дальневосточный Федеральный округ;Амурская область;Талон №2;820,0;
2015;1;Дальневосточный Федеральный округ;Амурская область;Талон №3-1;611,0;
2015;1;Дальневосточный Федеральный округ;Амурская область;Талон №3-2;597,0;
2015;1;Дальневосточный Федеральный округ;Еврейская автономная область;Талон №1;170,0;
2015;1;Дальневосточный Федеральный округ;Еврейская автономная область;Талон №2;191,0;
2015;1;Дальневосточный Федеральный округ;Еврейская автономная область;Талон №3-1;43,0;
2015;1;Дальневосточный Федеральный округ;Еврейская автономная область;Талон №3-2;50,0;
2015;1;Дальневосточный Федеральный округ;Камчатский край;Талон №1;279,0;
2015;1;Дальневосточный Федеральный округ;Камчатский край;Талон №2;279,0;
2015;1;Дальневосточный Федеральный округ;Камчатский край;Талон №3-1;110,0;
2015;1;Дальневосточный Федеральный округ;Камчатский край;Талон №3-2;49,0;
2015;1;Дальневосточный Федеральный округ;Магаданская область;Талон №1;138,0;
2015;1;Дальневосточный Федеральный округ;Магаданская область;Талон №2;154,0;
2015;1;Дальневосточный Федеральный округ;Магаданская область;Талон №3-1;98,0;
2015;1;Дальневосточный Федеральный округ;Магаданская область;Талон №3-2;107,0;
2015;1;Дальневосточный Федеральный округ;Приморский край;Талон №1;1632,0;
2015;1;Дальневосточный Федеральный округ;Приморский край;Талон №2;1845,0;
2015;1;Дальневосточный Федеральный округ;Приморский край;Талон №3-1;582,0;
2015;1;Дальневосточный Федеральный округ;Приморский край;Талон №3-2;385,0;
2015;1;Дальневосточный Федеральный округ;Республика Саха (Якутия);Талон №1;1208,0;
2015;1;Дальневосточный Федеральный округ;Республика Саха (Якутия);Талон №2;1385,0;
2015;1;Дальневосточный Федеральный округ;Республика Саха (Якутия);Талон №3-1;291,0;
2015;1;Дальневосточный Федеральный округ;Республика Саха (Якутия);Талон №3-2;273,0;
2015;1;Дальневосточный Федеральный округ;Сахалинская область;Талон №1;437,0;
2015;1;Дальневосточный Федеральный округ;Сахалинская область;Талон №2;533,0;
2015;1;Дальневосточный Федеральный округ;Сахалинская область;Талон №3-1;141,0;
2015;1;Дальневосточный Федеральный округ;Сахалинская область;Талон №3-2;94,0;
2015;1;Дальневосточный Федеральный округ;Хабаровский край;Талон №1;1213,0;
2015;1;Дальневосточный Федеральный округ;Хабаровский край;Талон №2;1285,0;
2015;1;Дальневосточный Федеральный округ;Хабаровский край;Талон №3-1;848,0;
2015;1;Дальневосточный Федеральный округ;Хабаровский край;Талон №3-2;712,0;
2015;1;Дальневосточный Федеральный округ;Чукотский автономный округ;Талон №1;35,0;
2015;1;Дальневосточный Федеральный округ;Чукотский автономный округ;Талон №2;60,0;
2015;1;Дальневосточный Федеральный округ;Чукотский автономный округ;Талон №3-1;35,0;
2015;1;Приволжский Федеральный округ;Кировская область;Талон №1;1266,0;
2015;1;Приволжский Федеральный округ;Кировская область;Талон №2;1336,0;
2015;1;Приволжский Федеральный округ;Кировская область;Талон №3-1;1001,0;
2015;1;Приволжский Федеральный округ;Кировская область;Талон №3-2;973,0;
2015;1;Приволжский Федеральный округ;Нижегородская область;Талон №1;2670,0;
2015;1;Приволжский Федеральный округ;Нижегородская область;Талон №2;2972,0;
2015;1;Приволжский Федеральный округ;Нижегородская область;Талон №3-1;2384,0;
2015;1;Приволжский Федеральный округ;Нижегородская область;Талон №3-2;2366,0;
2015;1;Приволжский Федеральный округ;Оренбургская область;Талон №1;2121,0;
2015;1;Приволжский Федеральный округ;Оренбургская область;Талон №2;2187,0;
2015;1;Приволжский Федеральный округ;Оренбургская область;Талон №3-1;1809,0;
2015;1;Приволжский Федеральный округ;Оренбургская область;Талон №3-2;1728,0;
2015;1;Приволжский Федеральный округ;Пензенская область;Талон №1;1004,0;
2015;1;Приволжский Федеральный округ;Пензенская область;Талон №2;1099,0;
2015;1;Приволжский Федеральный округ;Пензенская область;Талон №3-1;826,0;
2015;1;Приволжский Федеральный округ;Пензенская область;Талон №3-2;711,0;
2015;1;Приволжский Федеральный округ;Пермский край;Талон №1;2860,0;
2015;1;Приволжский Федеральный округ;Пермский край;Талон №2;3017,0;
2015;1;Приволжский Федеральный округ;Пермский край;Талон №3-1;2343,0;
2015;1;Приволжский Федеральный округ;Пермский край;Талон №3-2;2232,0;
2015;1;Приволжский Федеральный округ;Республика Башкортостан;Талон №1;4455,0;
2015;1;Приволжский Федеральный округ;Республика Башкортостан;Талон №2;4588,0;
2015;1;Приволжский Федеральный округ;Республика Башкортостан;Талон №3-1;3799,0;
2015;1;Приволжский Федеральный округ;Республика Башкортостан;Талон №3-2;3825,0;
2015;1;Приволжский Федеральный округ;Республика Марий Эл;Талон №1;721,0;
2015;1;Приволжский Федеральный округ;Республика Марий Эл;Талон №2;766,0;
2015;1;Приволжский Федеральный округ;Республика Марий Эл;Талон №3-1;63,0;
2015;1;Приволжский Федеральный округ;Республика Марий Эл;Талон №3-2;130,0;
