Год;Месяц;Федеральный округ;Регион;Профиль лечения;Количество путевок на СКЛ, выданных ГЛК и сопровождающим лицам, шт.;Расходы на обеспечение ГЛК и сопровождающих лиц путевками на СКЛ, млн. руб.;
2015;10;Дальневосточный Федеральный округ;Амурская область;Болезни глаза;184,0;2,87;
2015;10;Дальневосточный Федеральный округ;Амурская область;Болезни крови;2,0;0,04;
2015;10;Дальневосточный Федеральный округ;Амурская область;Болезни мочеполовой системы;29,0;0,47;
2015;10;Дальневосточный Федеральный округ;Амурская область;Болезни нервной системы;202,0;4,04;
2015;10;Дальневосточный Федеральный округ;Амурская область;Болезни опорно-двигательного аппарата;322,0;5,76;
2015;10;Дальневосточный Федеральный округ;Амурская область;Болезни органов дыхания;150,0;2,67;
2015;10;Дальневосточный Федеральный округ;Амурская область;Болезни органов пищеварения;139,0;2,12;
2015;10;Дальневосточный Федеральный округ;Амурская область;Болезни системы кровообращения;351,0;6,02;
2015;10;Дальневосточный Федеральный округ;Амурская область;Болезни уха;5,0;0,09;
2015;10;Дальневосточный Федеральный округ;Амурская область;Болезни эндокринной системы;67,0;1,03;
2015;10;Дальневосточный Федеральный округ;Амурская область;Последствия травм головного мозга;10,0;0,6;
2015;10;Дальневосточный Федеральный округ;Амурская область;Последствия травм спинного мозга;129,0;6,23;
2015;10;Дальневосточный Федеральный округ;Амурская область;Психоневрологические заболевания;16,0;0,32;
2015;10;Дальневосточный Федеральный округ;Приморский край;Болезни глаза;19,0;0,35;
2015;10;Дальневосточный Федеральный округ;Приморский край;Болезни нервной системы;140,0;2,63;
2015;10;Дальневосточный Федеральный округ;Приморский край;Болезни опорно-двигательного аппарата;719,0;13,34;
2015;10;Дальневосточный Федеральный округ;Приморский край;Болезни органов дыхания;39,0;0,7;
2015;10;Дальневосточный Федеральный округ;Приморский край;Болезни органов пищеварения;32,0;0,65;
2015;10;Дальневосточный Федеральный округ;Приморский край;Болезни системы кровообращения;1045,0;19,08;
2015;10;Дальневосточный Федеральный округ;Приморский край;Болезни уха;1,0;0,02;
2015;10;Дальневосточный Федеральный округ;Приморский край;Болезни эндокринной системы;13,0;0,25;
2015;10;Дальневосточный Федеральный округ;Приморский край;Общий;1,0;0,02;
2015;10;Дальневосточный Федеральный округ;Приморский край;Последствия травм спинного мозга;12,0;0,42;
2015;10;Дальневосточный Федеральный округ;Хабаровский край;Болезни глаза;15,0;0,33;
2015;10;Дальневосточный Федеральный округ;Хабаровский край;Болезни кожи и подкожной клетчатки;2,0;0,04;
2015;10;Дальневосточный Федеральный округ;Хабаровский край;Болезни мочеполовой системы;6,0;0,13;
2015;10;Дальневосточный Федеральный округ;Хабаровский край;Болезни нервной системы;72,0;1,35;
2015;10;Дальневосточный Федеральный округ;Хабаровский край;Болезни опорно-двигательного аппарата;84,0;1,75;
2015;10;Дальневосточный Федеральный округ;Хабаровский край;Болезни органов дыхания;14,0;0,29;
2015;10;Дальневосточный Федеральный округ;Хабаровский край;Болезни органов пищеварения;1,0;0,02;
2015;10;Дальневосточный Федеральный округ;Хабаровский край;Болезни системы кровообращения;93,0;1,9;
2015;10;Дальневосточный Федеральный округ;Хабаровский край;Болезни уха;19,0;0,42;
2015;10;Дальневосточный Федеральный округ;Хабаровский край;Болезни эндокринной системы;56,0;1,14;
