Год;Месяц;Федеральный округ;Регион;Тип транспорта;Количество талонов на проезд по путевкам на СКЛ от ФСС РФ, шт.;Количество талонов на проезд по путевкам на СКЛ от ОГИВ в сфере здравоохранения, шт.;Количество талонов на проезд по направлению на лечение от ОГИВ в сфере здравоохранения, шт.;
2015;1;Дальневосточный Федеральный округ;Приморский край;автомобильный;3,0;-;-;
2015;1;Дальневосточный Федеральный округ;Приморский край;железнодорожный;13593,0;-;-;
2015;1;Дальневосточный Федеральный округ;Хабаровский край;авиационный;5,0;-;-;
2015;1;Дальневосточный Федеральный округ;Хабаровский край;автомобильный;50,0;-;-;
2015;1;Дальневосточный Федеральный округ;Хабаровский край;железнодорожный;1636,0;-;-;
2015;1;Приволжский Федеральный округ;Республика Мордовия;железнодорожный;723,0;-;-;
2015;1;Приволжский Федеральный округ;Удмуртская республика;автомобильный;1,0;-;-;
2015;1;Приволжский Федеральный округ;Удмуртская республика;железнодорожный;958,0;-;-;
2015;1;Приволжский Федеральный округ;Чувашская республика;железнодорожный;391,0;-;-;
2015;1;Северо-Западный Федеральный округ;Республика Коми;авиационный;2,0;-;-;
2015;1;Северо-Западный Федеральный округ;Республика Коми;железнодорожный;782,0;-;-;
2015;1;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;автомобильный;4,0;-;-;
2015;1;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;железнодорожный;255,0;-;-;
2015;1;Северо-Кавказский Федеральный округ;Чеченская республика;железнодорожный;919,0;-;-;
2015;1;Сибирский Федеральный округ;Алтайский край;железнодорожный;356,0;-;-;
2015;1;Сибирский Федеральный округ;Республика Алтай;железнодорожный;6,0;-;-;
2015;1;Сибирский Федеральный округ;Республика Тыва;железнодорожный;94,0;-;-;
2015;1;Сибирский Федеральный округ;Республика Хакасия;железнодорожный;1,0;-;-;
2015;1;Южный Федеральный округ;Республика Калмыкия;железнодорожный;287,0;-;-;
2015;10;Дальневосточный Федеральный округ;Амурская область;автомобильный;988,0;-;-;
2015;10;Дальневосточный Федеральный округ;Приморский край;авиационный;60,0;-;-;
2015;10;Дальневосточный Федеральный округ;Приморский край;автомобильный;110,0;-;-;
2015;10;Дальневосточный Федеральный округ;Приморский край;железнодорожный;15973,0;-;-;
2015;10;Дальневосточный Федеральный округ;Хабаровский край;авиационный;216,0;-;-;
2015;10;Дальневосточный Федеральный округ;Хабаровский край;автомобильный;32,0;-;-;
2015;10;Дальневосточный Федеральный округ;Хабаровский край;водный;17,0;-;-;
2015;10;Дальневосточный Федеральный округ;Хабаровский край;железнодорожный;1001,0;-;-;
2015;10;Приволжский Федеральный округ;Республика Марий Эл;авиационный;94,0;-;-;
2015;10;Приволжский Федеральный округ;Республика Марий Эл;автомобильный;122,0;-;-;
2015;10;Приволжский Федеральный округ;Республика Марий Эл;железнодорожный;1,0;-;-;
2015;10;Приволжский Федеральный округ;Республика Мордовия;автомобильный;234,0;-;-;
