Год;Отрасль;Доля страхователей, использовавших средства на предупредительные меры, %;
2015;Государственное управление и обеспечение военной безопасности, обязательное социальное обеспечение;4,66;
2015;Деятельность гостиниц и ресторанов;0,78;
2015;Добыча полезных ископаемых, кроме топливно-энергетических;0,96;
2015;Добыча топливно-энергетических полезных ископаемых;1,01;
2015;Здравоохранение и предоставление социальных услуг;10,39;
2015;Лесное хозяйство и предоставление услуг в этой области;1,0;
2015;Металлургическое производство и производство готовых металличесикх изделий;2,58;
2015;Обработка древесины и производство изделий из дерева;1,06;
2015;Образование;19,81;
2015;Операции с недвижимым имуществом, аренда и предоставление услуг;8,01;
2015;Оптовая и розничная торговля, ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования;6,12;
2015;Пищевая промышленность;3,22;
2015;Предоставление прочих коммунальных, социальных и персональных услуг;2,92;
2015;Производсвто резиновых и пластмассовых изделий;0,75;
2015;Производство кожи, изделий из кожи и производство обуви;0,11;
2015;Производство кокса, нефтепродуктов и ядерных материалов;0,14;
2015;Производство машин и оборудорвания;2,9;
2015;Производство прочих неметаллических минеральных продуктов;2,2;
2015;Производство транспортных средств и оборудования;1,47;
2015;Производство электрооборудования, электронного и оптического оборудования;2,16;
2015;Произвосдство и распределение электроэнергии, газа и воды;3,6;
2015;Прочие производства;0,82;
2015;Рыболовство, рыбоводство и предоставление услуг в этих областях;0,16;
2015;Сельское хозяйство, охота и предоставление услуг в этих областях;6,13;
2015;Строительство;6,46;
2015;Текстильное и швейное производство;0,71;
2015;Транспорт и связь;7,11;
2015;Финансовая деятельность;1,19;
2015;Химическое производство;1,02;
2015;Целлюлозно-бумажное производство, издательская и полиграфическая деятельсноть;0,56;
2016;Государственное управление и обеспечение военной безопасности, обязательное социальное обеспечение;4,46;
2016;Данного ОКВЭД нет в справочнике;5,38;
2016;Деятельность гостиниц и ресторанов;0,65;
2016;Добыча полезных ископаемых, кроме топливно-энергетических;0,81;
2016;Добыча топливно-энергетических полезных ископаемых;0,96;
2016;Здравоохранение и предоставление социальных услуг;11,32;
2016;Лесное хозяйство и предоставление услуг в этой области;0,79;
2016;Металлургическое производство и производство готовых металличесикх изделий;2,35;
2016;Обработка древесины и производство изделий из дерева;0,92;
2016;Образование;20,29;
2016;Операции с недвижимым имуществом, аренда и предоставление услуг;7,17;
2016;Оптовая и розничная торговля, ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования;5,33;
2016;Пищевая промышленность;3,03;
2016;Предоставление прочих коммунальных, социальных и персональных услуг;2,85;
2016;Предоставлние услуг по ведению домашнего хозяйства;0,0;
2016;Производсвто резиновых и пластмассовых изделий;0,74;
2016;Производство кожи, изделий из кожи и производство обуви;0,14;
2016;Производство кокса, нефтепродуктов и ядерных материалов;0,14;
2016;Производство машин и оборудорвания;2,61;
2016;Производство прочих неметаллических минеральных продуктов;1,83;
2016;Производство транспортных средств и оборудования;1,52;
2016;Производство электрооборудования, электронного и оптического оборудования;1,99;
2016;Произвосдство и распределение электроэнергии, газа и воды;3,26;
2016;Прочие производства;0,78;
2016;Рыболовство, рыбоводство и предоставление услуг в этих областях;0,16;
2016;Сельское хозяйство, охота и предоставление услуг в этих областях;5,96;
2016;Строительство;5,25;
2016;Текстильное и швейное производство;0,63;
2016;Транспорт и связь;6,31;
2016;Финансовая деятельность;0,8;
2016;Химическое производство;1,04;
2016;Целлюлозно-бумажное производство, издательская и полиграфическая деятельсноть;0,51;
2017;Водоснабжение, водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений;0,98;
2017;Государственное управление и обеспечение военной безопасности, социальное обеспечение;4,8;
2017;Данного ОКВЭД нет в справочнике;0,14;
2017;Деятельность административная и сопутствующие дополнительные услуги;1,88;
2017;Деятельность в области здравоохранения и социальных услуг;10,39;
2017;Деятельность в области информации и связи;1,17;
2017;Деятельность в области культуры, спорта, организации досуга и развлечений;2,41;
2017;Деятельность гостиниц и предприятий общественного питания;0,76;
2017;Деятельность домашних хозяйств как работодателей, недифференцированная деятельность частных домашних хозяйств;0,0;
2017;Деятельность по операциям с недвижимым имуществом;2,21;
2017;Деятельность профессиональная, научная и техническая;3,13;
2017;Деятельность финансовая и страховая;0,8;
2017;Добыча полезных ископаемых;1,88;
2017;Обеспечение электрической энергией, газом и паром, кондиционирование воздуха;3,12;
2017;Обрабатывающие производства;18,46;
2017;Образование;23,83;
2017;Предоставление прочих видов услуг;0,26;
2017;Сельское, лесное хозяйство, охота, рыболовство и рыбоводство;7,19;
2017;Строительство;4,97;
2017;Торговля оптовая и розничная, ремонт автотранспортных средств и мотоциклов;5,46;
2017;Транспортировка и хранение;6,16;
2018;Водоснабжение, водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений;0,97;
2018;Государственное управление и обеспечение военной безопасности, социальное обеспечение;5,09;
2018;Данного ОКВЭД нет в справочнике;0,0;
2018;Деятельность административная и сопутствующие дополнительные услуги;1,81;
2018;Деятельность в области здравоохранения и социальных услуг;10,35;
2018;Деятельность в области информации и связи;1,56;
2018;Деятельность в области культуры, спорта, организации досуга и развлечений;2,64;
2018;Деятельность гостиниц и предприятий общественного питания;0,74;
2018;Деятельность домашних хозяйств как работодателей, недифференцированная деятельность частных домашних хозяйств;0,0;
2018;Деятельность по операциям с недвижимым имуществом;2,33;
2018;Деятельность профессиональная, научная и техническая;3,41;
2018;Деятельность финансовая и страховая;0,96;
2018;Добыча полезных ископаемых;1,25;
2018;Обеспечение электрической энергией, газом и паром, кондиционирование воздуха;2,93;
2018;Обрабатывающие производства;18,22;
2018;Образование;24,94;
2018;Предоставление прочих видов услуг;0,28;
2018;Сельское, лесное хозяйство, охота, рыболовство и рыбоводство;6,44;
2018;Строительство;4,4;
2018;Торговля оптовая и розничная, ремонт автотранспортных средств и мотоциклов;6,26;
2018;Транспортировка и хранение;5,39;
