Год;Месяц;Федеральный округ;Регион;Число детей;Количество детей, чел. ;
2015;10;Дальневосточный Федеральный округ;Амурская область;1й ребенок;402,0;
2015;10;Дальневосточный Федеральный округ;Амурская область;2й и более ребенок;477,0;
2015;10;Дальневосточный Федеральный округ;Еврейская автономная область;1й ребенок;64,0;
2015;10;Дальневосточный Федеральный округ;Еврейская автономная область;2й и более ребенок;110,0;
2015;10;Дальневосточный Федеральный округ;Камчатский край;1й ребенок;142,0;
2015;10;Дальневосточный Федеральный округ;Камчатский край;2й и более ребенок;211,0;
2015;10;Дальневосточный Федеральный округ;Магаданская область;1й ребенок;44,0;
2015;10;Дальневосточный Федеральный округ;Магаданская область;2й и более ребенок;71,0;
2015;10;Дальневосточный Федеральный округ;Приморский край;1й ребенок;876,0;
2015;10;Дальневосточный Федеральный округ;Приморский край;2й и более ребенок;1227,0;
2015;10;Дальневосточный Федеральный округ;Республика Саха (Якутия);1й ребенок;457,0;
2015;10;Дальневосточный Федеральный округ;Республика Саха (Якутия);2й и более ребенок;962,0;
2015;10;Дальневосточный Федеральный округ;Сахалинская область;1й ребенок;216,0;
2015;10;Дальневосточный Федеральный округ;Сахалинская область;2й и более ребенок;351,0;
2015;10;Дальневосточный Федеральный округ;Хабаровский край;1й ребенок;607,0;
2015;10;Дальневосточный Федеральный округ;Хабаровский край;2й и более ребенок;908,0;
2015;10;Дальневосточный Федеральный округ;Чукотский автономный округ;1й ребенок;22,0;
2015;10;Дальневосточный Федеральный округ;Чукотский автономный округ;2й и более ребенок;21,0;
2015;10;Приволжский Федеральный округ;Кировская область;1й ребенок;534,0;
2015;10;Приволжский Федеральный округ;Кировская область;2й и более ребенок;854,0;
2015;10;Приволжский Федеральный округ;Нижегородская область;1й ребенок;1385,0;
2015;10;Приволжский Федеральный округ;Нижегородская область;2й и более ребенок;2096,0;
2015;10;Приволжский Федеральный округ;Оренбургская область;1й ребенок;843,0;
2015;10;Приволжский Федеральный округ;Оренбургская область;2й и более ребенок;1543,0;
2015;10;Приволжский Федеральный округ;Пензенская область;1й ребенок;555,0;
2015;10;Приволжский Федеральный округ;Пензенская область;2й и более ребенок;745,0;
2015;10;Приволжский Федеральный округ;Пермский край;1й ребенок;1169,0;
2015;10;Приволжский Федеральный округ;Пермский край;2й и более ребенок;2045,0;
2015;10;Приволжский Федеральный округ;Республика Башкортостан;1й ребенок;1812,0;
2015;10;Приволжский Федеральный округ;Республика Башкортостан;2й и более ребенок;3173,0;
2015;10;Приволжский Федеральный округ;Республика Марий Эл;1й ребенок;327,0;
2015;10;Приволжский Федеральный округ;Республика Марий Эл;2й и более ребенок;550,0;
2015;10;Приволжский Федеральный округ;Республика Мордовия;1й ребенок;286,0;
2015;10;Приволжский Федеральный округ;Республика Мордовия;2й и более ребенок;361,0;
2015;10;Приволжский Федеральный округ;Республика Татарстан;1й ребенок;1918,0;
2015;10;Приволжский Федеральный округ;Республика Татарстан;2й и более ребенок;2871,0;
2015;10;Приволжский Федеральный округ;Самарская область;1й ребенок;1312,0;
2015;10;Приволжский Федеральный округ;Самарская область;2й и более ребенок;1972,0;
2015;10;Приволжский Федеральный округ;Саратовская область;1й ребенок;997,0;
2015;10;Приволжский Федеральный округ;Саратовская область;2й и более ребенок;1419,0;
2015;10;Приволжский Федеральный округ;Удмуртская республика;1й ребенок;684,0;
2015;10;Приволжский Федеральный округ;Удмуртская республика;2й и более ребенок;1237,0;
2015;10;Приволжский Федеральный округ;Ульяновская область;1й ребенок;527,0;
2015;10;Приволжский Федеральный округ;Ульяновская область;2й и более ребенок;707,0;
2015;10;Приволжский Федеральный округ;Чувашская республика;1й ребенок;567,0;
2015;10;Приволжский Федеральный округ;Чувашская республика;2й и более ребенок;884,0;
2015;10;Северо-Западный Федеральный округ;Архангельская область;1й ребенок;388,0;
2015;10;Северо-Западный Федеральный округ;Архангельская область;2й и более ребенок;681,0;
2015;10;Северо-Западный Федеральный округ;Вологодская область;1й ребенок;545,0;
2015;10;Северо-Западный Федеральный округ;Вологодская область;2й и более ребенок;846,0;
2015;10;Северо-Западный Федеральный округ;Калининградская область;1й ребенок;450,0;
2015;10;Северо-Западный Федеральный округ;Калининградская область;2й и более ребенок;622,0;
2015;10;Северо-Западный Федеральный округ;Ленинградская область;1й ребенок;516,0;
2015;10;Северо-Западный Федеральный округ;Ленинградская область;2й и более ребенок;802,0;
2015;10;Северо-Западный Федеральный округ;Мурманская область;1й ребенок;291,0;
2015;10;Северо-Западный Федеральный округ;Мурманская область;2й и более ребенок;412,0;
2015;10;Северо-Западный Федеральный округ;Ненецкий автономный округ;1й ребенок;24,0;
2015;10;Северо-Западный Федеральный округ;Ненецкий автономный округ;2й и более ребенок;36,0;
2015;10;Северо-Западный Федеральный округ;Новгородская область;1й ребенок;242,0;
2015;10;Северо-Западный Федеральный округ;Новгородская область;2й и более ребенок;429,0;
2015;10;Северо-Западный Федеральный округ;Псковская область;1й ребенок;240,0;
2015;10;Северо-Западный Федеральный округ;Псковская область;2й и более ребенок;349,0;
2015;10;Северо-Западный Федеральный округ;Республика Карелия;1й ребенок;273,0;
2015;10;Северо-Западный Федеральный округ;Республика Карелия;2й и более ребенок;386,0;
2015;10;Северо-Западный Федеральный округ;Республика Коми;1й ребенок;389,0;
2015;10;Северо-Западный Федеральный округ;Республика Коми;2й и более ребенок;531,0;
2015;10;Северо-Западный Федеральный округ;Санкт-Петербург;1й ребенок;2607,0;
2015;10;Северо-Западный Федеральный округ;Санкт-Петербург;2й и более ребенок;2180,0;
2015;10;Северо-Кавказский Федеральный округ;Кабардино-Балкарская республика;1й ребенок;351,0;
2015;10;Северо-Кавказский Федеральный округ;Кабардино-Балкарская республика;2й и более ребенок;723,0;
2015;10;Северо-Кавказский Федеральный округ;Республика Дагестан;1й ребенок;1631,0;
2015;10;Северо-Кавказский Федеральный округ;Республика Дагестан;2й и более ребенок;3295,0;
2015;10;Северо-Кавказский Федеральный округ;Республика Ингушетия;1й ребенок;541,0;
2015;10;Северо-Кавказский Федеральный округ;Республика Ингушетия;2й и более ребенок;107,0;
2015;10;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;1й ребенок;170,0;
2015;10;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;2й и более ребенок;272,0;
2015;10;Северо-Кавказский Федеральный округ;Республика Северная Осетия-Алания;1й ребенок;330,0;
2015;10;Северо-Кавказский Федеральный округ;Республика Северная Осетия-Алания;2й и более ребенок;572,0;
2015;10;Северо-Кавказский Федеральный округ;Ставропольский край;1й ребенок;1516,0;
2015;10;Северо-Кавказский Федеральный округ;Ставропольский край;2й и более ребенок;1833,0;
2015;10;Северо-Кавказский Федеральный округ;Чеченская республика;1й ребенок;634,0;
2015;10;Северо-Кавказский Федеральный округ;Чеченская республика;2й и более ребенок;2044,0;
2015;10;Сибирский Федеральный округ;Алтайский край;1й ребенок;928,0;
2015;10;Сибирский Федеральный округ;Алтайский край;2й и более ребенок;1557,0;
2015;10;Сибирский Федеральный округ;Забайкальский край;1й ребенок;516,0;
2015;10;Сибирский Федеральный округ;Забайкальский край;2й и более ребенок;868,0;
2015;10;Сибирский Федеральный округ;Иркутская область;1й ребенок;1100,0;
2015;10;Сибирский Федеральный округ;Иркутская область;2й и более ребенок;1764,0;
2015;10;Сибирский Федеральный округ;Кемеровская область;1й ребенок;977,0;
2015;10;Сибирский Федеральный округ;Кемеровская область;2й и более ребенок;1860,0;
2015;10;Сибирский Федеральный округ;Красноярский край;1й ребенок;1715,0;
2015;10;Сибирский Федеральный округ;Красноярский край;2й и более ребенок;1750,0;
2015;10;Сибирский Федеральный округ;Новосибирская область;1й ребенок;1323,0;
2015;10;Сибирский Федеральный округ;Новосибирская область;2й и более ребенок;1883,0;
2015;10;Сибирский Федеральный округ;Омская область;1й ребенок;893,0;
2015;10;Сибирский Федеральный округ;Омская область;2й и более ребенок;1457,0;
2015;10;Сибирский Федеральный округ;Республика Алтай;1й ребенок;116,0;
2015;10;Сибирский Федеральный округ;Республика Алтай;2й и более ребенок;212,0;
2015;10;Сибирский Федеральный округ;Республика Бурятия;1й ребенок;573,0;
2015;10;Сибирский Федеральный округ;Республика Бурятия;2й и более ребенок;858,0;
2015;10;Сибирский Федеральный округ;Республика Тыва;1й ребенок;175,0;
2015;10;Сибирский Федеральный округ;Республика Тыва;2й и более ребенок;385,0;
2015;10;Сибирский Федеральный округ;Республика Хакасия;1й ребенок;219,0;
2015;10;Сибирский Федеральный округ;Республика Хакасия;2й и более ребенок;415,0;
2015;10;Сибирский Федеральный округ;Томская область;1й ребенок;484,0;
2015;10;Сибирский Федеральный округ;Томская область;2й и более ребенок;775,0;
2015;10;Уральский Федеральный округ;Курганская область;1й ребенок;309,0;
2015;10;Уральский Федеральный округ;Курганская область;2й и более ребенок;644,0;
2015;10;Уральский Федеральный округ;Свердловская область;1й ребенок;1980,0;
2015;10;Уральский Федеральный округ;Свердловская область;2й и более ребенок;3198,0;
2015;10;Уральский Федеральный округ;Тюменская область;1й ребенок;730,0;
2015;10;Уральский Федеральный округ;Тюменская область;2й и более ребенок;1152,0;
2015;10;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;1й ребенок;741,0;
2015;10;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;2й и более ребенок;1346,0;
2015;10;Уральский Федеральный округ;Челябинская область;1й ребенок;1471,0;
2015;10;Уральский Федеральный округ;Челябинская область;2й и более ребенок;2550,0;
2015;10;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;1й ребенок;263,0;
2015;10;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;2й и более ребенок;458,0;
2015;10;Центральный Федеральный округ;Белгородская область;1й ребенок;615,0;
2015;10;Центральный Федеральный округ;Белгородская область;2й и более ребенок;817,0;
2015;10;Центральный Федеральный округ;Брянская область;1й ребенок;524,0;
2015;10;Центральный Федеральный округ;Брянская область;2й и более ребенок;712,0;
2015;10;Центральный Федеральный округ;Владимирская область;1й ребенок;486,0;
2015;10;Центральный Федеральный округ;Владимирская область;2й и более ребенок;836,0;
2015;10;Центральный Федеральный округ;Воронежская область;1й ребенок;989,0;
2015;10;Центральный Федеральный округ;Воронежская область;2й и более ребенок;1227,0;
2015;10;Центральный Федеральный округ;Ивановская область;1й ребенок;427,0;
2015;10;Центральный Федеральный округ;Ивановская область;2й и более ребенок;641,0;
2015;10;Центральный Федеральный округ;Калужская область;1й ребенок;435,0;
2015;10;Центральный Федеральный округ;Калужская область;2й и более ребенок;623,0;
2015;10;Центральный Федеральный округ;Костромская область;1й ребенок;249,0;
2015;10;Центральный Федеральный округ;Костромская область;2й и более ребенок;402,0;
2015;10;Центральный Федеральный округ;Курская область;1й ребенок;451,0;
2015;10;Центральный Федеральный округ;Курская область;2й и более ребенок;669,0;
2015;10;Центральный Федеральный округ;Липецкая область;1й ребенок;469,0;
2015;10;Центральный Федеральный округ;Липецкая область;2й и более ребенок;699,0;
2015;10;Центральный Федеральный округ;Москва;1й ребенок;5235,0;
2015;10;Центральный Федеральный округ;Москва;2й и более ребенок;5242,0;
2015;10;Центральный Федеральный округ;Московская область;1й ребенок;3230,0;
2015;10;Центральный Федеральный округ;Московская область;2й и более ребенок;3653,0;
2015;10;Центральный Федеральный округ;Орловская область;1й ребенок;345,0;
2015;10;Центральный Федеральный округ;Орловская область;2й и более ребенок;432,0;
2015;10;Центральный Федеральный округ;Рязанская область;1й ребенок;460,0;
2015;10;Центральный Федеральный округ;Рязанская область;2й и более ребенок;554,0;
2015;10;Центральный Федеральный округ;Смоленская область;1й ребенок;308,0;
2015;10;Центральный Федеральный округ;Смоленская область;2й и более ребенок;499,0;
2015;10;Центральный Федеральный округ;Тамбовская область;1й ребенок;370,0;
2015;10;Центральный Федеральный округ;Тамбовская область;2й и более ребенок;500,0;
2015;10;Центральный Федеральный округ;Тверская область;1й ребенок;501,0;
2015;10;Центральный Федеральный округ;Тверская область;2й и более ребенок;718,0;
2015;10;Центральный Федеральный округ;Тульская область;1й ребенок;573,0;
2015;10;Центральный Федеральный округ;Тульская область;2й и более ребенок;691,0;
2015;10;Центральный Федеральный округ;Ярославская область;1й ребенок;615,0;
2015;10;Центральный Федеральный округ;Ярославская область;2й и более ребенок;671,0;
2015;10;Южный Федеральный округ;Астраханская область;1й ребенок;451,0;
2015;10;Южный Федеральный округ;Астраханская область;2й и более ребенок;795,0;
2015;10;Южный Федеральный округ;Волгоградская область;1й ребенок;993,0;
2015;10;Южный Федеральный округ;Волгоградская область;2й и более ребенок;1579,0;
2015;10;Южный Федеральный округ;Краснодарский край;1й ребенок;2851,0;
2015;10;Южный Федеральный округ;Краснодарский край;2й и более ребенок;3587,0;
2015;10;Южный Федеральный округ;Республика Адыгея;1й ребенок;164,0;
2015;10;Южный Федеральный округ;Республика Адыгея;2й и более ребенок;260,0;
2015;10;Южный Федеральный округ;Республика Калмыкия;1й ребенок;89,0;
2015;10;Южный Федеральный округ;Республика Калмыкия;2й и более ребенок;221,0;
2015;10;Южный Федеральный округ;Республика Крым;1й ребенок;792,0;
