property,title,value,format
standardversion,"Версия методических рекомендаций",http://opendata.gosmonitor.ru/standard/3.0
7708234640-VSHP2016350,"ПОСЕВНАЯ ПЛОЩАДЬ ЗЕРНОБОБОВЫХ КУЛЬТУР ПО ВИДАМ ПОД УРОЖАЙ 2016 ГОДА В ХОЗЯЙСТВАХ НАСЕЛЕНИЯ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016350/meta.csv,csv
7708234640-bachelor1014th,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: бакалавр (ВПН-2010), 10-14 лет",https://rosstat.gov.ru/opendata/7708234640-bachelor1014th/meta.csv,csv
7708234640-80plus,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: 80 лет и старше",https://rosstat.gov.ru/opendata/7708234640-80plus/meta.csv,csv
7708234640-fullcollege05th,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: среднее профессиональное (среднее специальное), 0-5 лет",https://rosstat.gov.ru/opendata/7708234640-fullcollege05th/meta.csv,csv
7708234640-college1517th,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: начальное профессиональное, 15-17 лет",https://rosstat.gov.ru/opendata/7708234640-college1517th/meta.csv,csv
7708234640-VSHP2016525,"ПОГОЛОВЬЕ КОЗ В ХОЗЯЙСТВАХ ВСЕХ КАТЕГОРИЙ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016525/meta.csv,csv
7708234640-VSHP2016599,"ПОГОЛОВЬЕ ПЛЕМЕННЫХ КОРОВ В СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЯХ, КРЕСТЬЯНСКИХ (ФЕРМЕРСКИХ) ХОЗЯЙСТВАХ И У ИНДИВИДУАЛЬНЫХ ПРЕДПРИНИМАТЕЛЕЙ",https://rosstat.gov.ru/opendata/7708234640-VSHP2016599/meta.csv,csv
7708234640-totaloutignoreducation67th,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: всего без указавших уровень образования, 6-7 лет",https://rosstat.gov.ru/opendata/7708234640-totaloutignoreducation67th/meta.csv,csv
7708234640-unfinishedschool3539th,"Итоги социально-демографического обследования (микроперепись населения) 2015 года по показателю: основное общее (неполное среднее), 35-39 лет",https://rosstat.gov.ru/opendata/7708234640-unfinishedschool3539th/meta.csv,csv
