id,name,code,period,department,employee,last_update,ehd_update,filename
273992,11111110100240200001 Число торговых мест на рынке,11111110100240200001,2010 - 2020,,,2021-12-04T20:07:12+00:00,2020-11-10T22:06:15+00:00,11111110100240200001_Число_торговых_мест_на_рынке.csv
275862,11111110100350200001 Наличие основных строительных машин в строительных организациях,11111110100350200001,2005 - 2020,"Управление статистики строительства, инвестиций и жилищно-коммунального хозяйства",Елисеева М.А.,2021-04-23T04:23:34+00:00,2021-04-19T06:47:57+00:00,11111110100350200001_Наличие_основных_строительных_машин_в_строительных_организациях.csv
273976,11111110100430200001 Количество персональных компьютеров,11111110100430200001,2009 - 2020,"Управление статистики образования, науки и инноваций",Кукушкина Н.А.,2021-10-29T03:08:13+00:00,2021-10-15T15:24:03+00:00,11111110100430200001_Количество_персональных_компьютеров.csv
278914,"11111110100540200001 Число торговых мест, закрепленных за хозяйствующими субъектами",11111110100540200001,2010 - 2020,,,2021-12-04T20:21:33+00:00,2020-11-10T22:06:15+00:00,"11111110100540200001_Число_торговых_мест,_закрепленных_за_хозяйствующими_субъектами.csv"
273636,11111110100560200001 Площадь торгового зала объектов розничной торговли,11111110100560200001,2011 - 2019,,,2020-09-24T08:59:04+00:00,2020-09-23T22:05:36+00:00,11111110100560200001_Площадь_торгового_зала_объектов_розничной_торговли.csv
273738,11111110100570200001 Площадь зала обслуживания посетителей в объектах общественного питания,11111110100570200001,2011 - 2019,,,2020-09-24T09:04:06+00:00,2020-09-23T22:11:33+00:00,11111110100570200001_Площадь_зала_обслуживания_посетителей_в_объектах_общественного_питания.csv
273728,11111110100580200001 Количество мест в объектах  общественного питания,11111110100580200001,2011 - 2019,,,2020-09-24T09:04:06+00:00,2020-09-23T22:11:33+00:00,11111110100580200001_Количество_мест_в_объектах__общественного_питания.csv
273634,11111110100680200001 Количество объектов розничной торговли,11111110100680200001,2011 - 2019,,,2021-12-30T06:06:08+00:00,2020-09-23T22:05:36+00:00,11111110100680200001_Количество_объектов_розничной_торговли.csv
273726,11111110100680200002 Количество объектов  общественного питания,11111110100680200002,2011 - 2019,,,2021-12-30T06:40:21+00:00,2020-09-23T22:11:33+00:00,11111110100680200002_Количество_объектов__общественного_питания.csv
277262,"11111110101380200002 Количество автозаправочных станций (АЗС), расположенных на автомобильных дорогах общего пользования",11111110101380200002,2013 - 2020,,,2022-01-28T12:50:38+00:00,2021-06-17T04:31:07+00:00,"11111110101380200002_Количество_автозаправочных_станций_(АЗС),_расположенных_на_автомобильных_дорога.csv"
273638,11111110101440200001 Обеспеченность населения торговыми площадями современных форматов,11111110101440200001,2011 - 2020,,,2021-10-10T17:01:13+00:00,2021-09-08T09:10:53+00:00,11111110101440200001_Обеспеченность_населения_торговыми_площадями_современных_форматов.csv
278648,11111110200010200007 Наличие основных фондов  по полной учетной стоимости,11111110200010200007,2010 - 2016,Управление статистики цен и финансов,Курляндская М. В.,2022-04-03T17:40:04+00:00,2017-06-25T03:31:08+00:00,11111110200010200007_Наличие_основных_фондов__по_полной_учетной_стоимости.csv
276678,11111110200010200012 Наличие основных фондов по полной учетной стоимости в сельскохозяйственных потребкооперативах,11111110200010200012,2007 - 2017,Управление статистики торговли и услуг,Тиванова Т.С.,2022-04-03T18:23:02+00:00,2019-04-28T21:46:36+00:00,11111110200010200012_Наличие_основных_фондов_по_полной_учетной_стоимости_в_сельскохозяйственных_потр.csv
279776,11111110200010200013 Наличие основных средств по полной учетной стоимости юридических лиц - субъектов малого и среднего предпринимательства по данным Сплошного наблюдения МСП,11111110200010200013,2010 - 2015,Управление статистики предприятий,Османова Э.М.,2022-04-03T18:23:02+00:00,2019-04-27T00:11:48+00:00,11111110200010200013_Наличие_основных_средств_по_полной_учетной_стоимости_юридических_лиц_-_субъекто.csv
274384,11111110200300200001 Текущая рыночная стоимость жилых зданий,11111110200300200001,2011 - 2019,Управление национальных счетов,Кожина В.Н.,2021-12-06T16:17:58+00:00,2021-11-23T06:47:25+00:00,11111110200300200001_Текущая_рыночная_стоимость_жилых_зданий.csv
277202,11111110200330200001 Текущая рыночная стоимость основного капитала на конец года,11111110200330200001,2011 - 2016,Управление национальных счетов,Яковлева С. А.,2020-07-15T18:32:21+00:00,2019-11-12T13:02:26+00:00,"2016_г_,_11111110200330200001_Текущая_рыночная_стоимость_основного_капитала_на_конец_года.csv"
273994,"11111110300060200001 Процент фактического использования торговых мест по всем рынкам, в том числе разной специализации",11111110300060200001,2010 - 2020,,,2020-12-19T22:23:54+00:00,2020-11-10T22:06:15+00:00,"11111110300060200001_Процент_фактического_использования_торговых_мест_по_всем_рынкам,_в_том_числе_ра.csv"
275734,11111120200630200001 Номинальная холдинговая прибыль (убыток),11111120200630200001,2011 - 2019,,,2021-05-16T00:49:35+00:00,2021-05-13T13:07:35+00:00,11111120200630200001_Номинальная_холдинговая_прибыль_(убыток).csv
275678,11111120200640200001 Нейтральная холдинговая прибыль (убыток),11111120200640200001,2011 - 2019,,,2021-05-16T00:49:35+00:00,2021-05-13T15:07:19+00:00,11111120200640200001_Нейтральная_холдинговая_прибыль_(убыток).csv
275680,11111120200650200001 Реальная холдинговая прибыль (убыток),11111120200650200001,2011 - 2019,,,2021-05-16T00:49:35+00:00,2021-05-13T12:51:11+00:00,11111120200650200001_Реальная_холдинговая_прибыль_(убыток).csv
275682,"11111120200660200001 Изменения в объеме активов, не связанные с операциями и изменением цен",11111120200660200001,2011 - 2019,,,2021-05-16T00:49:35+00:00,2021-05-13T13:07:35+00:00,"11111120200660200001_Изменения_в_объеме_активов,_не_связанные_с_операциями_и_изменением_цен.csv"
278042,"11111131100050200001 Среднегодовая мощность, действовавшая в отчетном году, с  2017 г. ( в соответствии с ОКПД2)",11111131100050200001,2017 - 2020,,,2021-10-12T12:23:38+00:00,2021-09-28T05:27:26+00:00,
278320,"11111131100050200002 Среднегодовая мощность предприятия, действовавшая в отчетном году (по 2009 год)",11111131100050200002,1992 - 2009,,,2019-07-01T08:42:01+00:00,2019-04-19T17:30:36+00:00,"11111131100050200002_Среднегодовая_мощность_предприятия,_действовавшая_в_отчетном_году_(по_2009_год).csv"
273270,"11111131100050200003 Среднегодовая мощность предприятий, действовавшая в отчетном году (с  2010 по  2016 годы)",11111131100050200003,2010 - 2016,,,2019-07-01T08:42:01+00:00,2019-04-26T22:08:03+00:00,"11111131100050200003_Среднегодовая_мощность_предприятий,_действовавшая_в_отчетном_году_(с__2010_по__.csv"
273252,11111131100080200001 Среднегодовая мощность производства (потребления) химикатов,11111131100080200001,2010 - 2019,Управление статистики торговли и услуг,Нефедова Е.Г.,2021-02-03T05:03:53+00:00,,11111131100080200001_Среднегодовая_мощность_производства_(потребления)_химикатов.csv
276336,11111131100150200001 Установленная производственная мощность насосных станций 1 подъема,11111131100150200001,2015 - 2018,"Управление статистики строительства, инвестиций и жилищно-коммунального хозяйства",Казакова А.В.,2019-05-11T02:21:12+00:00,2019-05-08T20:09:10+00:00,11111131100150200001_Установленная_производственная_мощность_насосных_станций_1_подъема.csv
279178,11111131100160200001 Установленная производственная мощность очистных сооружений,11111131100160200001,2000 - 2018,,,2020-09-26T04:34:55+00:00,2020-09-24T09:33:05+00:00,11111131100160200001_Установленная_производственная_мощность_очистных_сооружений.csv
279176,11111131100170200001 Установленная производственная мощность водопровода,11111131100170200001,2000 - 2018,,,2021-02-15T11:43:19+00:00,2021-02-09T23:02:49+00:00,11111131100170200001_Установленная_производственная_мощность_водопровода.csv
276672,11111131100180200001 Мощность сооружений по обработке осадка (1-канализация),11111131100180200001,2000 - 2018,"Управление статистики строительства, инвестиций и жилищно-коммунального хозяйства",Шадрин А.М.,2020-09-26T04:46:14+00:00,2020-09-24T09:15:13+00:00,11111131100180200001_Мощность_сооружений_по_обработке_осадка_(1-канализация).csv
276350,11111131100190200001 Площадь иловых площадок,11111131100190200001,2015 - 2018,"Управление статистики строительства, инвестиций и жилищно-коммунального хозяйства",Шадрин А.М.,2019-05-11T02:28:33+00:00,2019-05-08T20:12:18+00:00,11111131100190200001_Площадь_иловых_площадок.csv
276352,11111131100200200001 Количество образованного осадка,11111131100200200001,2015 - 2018,"Управление статистики строительства, инвестиций и жилищно-коммунального хозяйства",Шадрин А.М.,2019-06-11T12:12:27+00:00,2019-06-02T01:35:32+00:00,11111131100200200001_Количество_образованного_осадка.csv
